董小蕾同学就是我,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
陵水气象爱好者,:#31省区市新增125例新冠肺炎#其中，湖北省114例，浙江省7例（均为输入性）、上海市1例、辽宁省3例。
杨超越歌迷,【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
淄博警方,:【小调查：你的口罩用多久换新的？】今日#辽宁省新增3例确诊均为丹东病例#热议。警花提醒：疫情依然严峻复杂，要高度警惕麻痹思想、厌战情绪、侥幸心理、松劲心态，否则将带来严重后果，甚至前功尽弃。#意大利累计确诊2036例新冠肺炎#小调查:你的口罩多久换新？
穷追一梦1202,:辽宁省做点好事基本上不了热搜，一有点问题，热搜肯定上得特快
万相人间,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
黟县宣传之6,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
Xxx___g,:#教师资格证面试成绩[超话]#辽宁省的有查到的么？
中国商网-中国商报,:【#辽宁新增3例确诊均为丹东病例#】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例。值得注意的是，为严防境外疫情输入，丹东市2月2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。#2月12日后境外入丹东人员核酸检测#
腿长一米八的长腿小富婆,:你可以不够强大，2021考研网课考研英语考研数学考研政治英语专八专四日语n1n2腿姐英语但是你不能没有梦想，2020省考广西公务员考试辽宁省考江苏省考浙江省考安徽省考河北省考河南省考粉笔公考粉笔系统班资料分析判断推理公务员面试如果你没有梦想，小学中学教师资格证考试将来你就只能为别人的梦想打工。山东省教师招聘考试网课这一路你可以哭，重庆事业单位考试但你一定不能停。http://t.cn/A67XBVmn
小薰今天减肥了吗,:#辽宁省新增3例确诊均为丹东病例#快停吧
蔓之研城市合伙人美美宁,:#蔓之研医美系列##蔓之研辽宁省总代#𝟚𝟘𝟙𝟡.𝟟.𝟙收到一版打样𝟚𝟘𝟚𝟘.𝟛.𝟙隆重推出这款蔓之研为了给家人们一份惊喜反复雕琢多少其中细节从时间成本上看我相信大家可以看到价值每一次蔓之研推出的活动特别多人模仿我们的策划和礼品创意我觉得这是蔓之研雯总的实力和能力永远走在最前面引领趋势🤙🤙
是刘不丢没错了,:#辽宁省新增3例确诊均为丹东病例#然后我就被禁足了我想喝奶茶我想吃炸鸡我想开学呜呜呜大连
小潘炖蘑菇,:#辽宁新增3例确诊均为丹东病例#丹东市，地处辽宁省东南部，与北朝鲜隔江相望，丹东是中国海岸线的北端起点，是中国对朝贸易最大的口岸城市、国家特许经营赴朝旅游城市。是亚洲唯一一个同时拥有边境口岸、机场、高铁、河港、海港、高速公路的城市。丹东加油！中国加油！
哆啦A的的的梦,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。@人民网辽宁频道http://t.cn/A67KBtHK
瓷都民警石头哥,:【往防疫点扔犬粪便的人，抓到了！】2020年3月1日9时许，辽宁省大连市公安局中山分局接到葵英街道清泉社区工作人员报警称，该社区防疫检查点一办公桌上，被人扔了两块犬粪便。接警后，属地派出所立即开展调查。3月2日10时许，警方将违法嫌疑人李某军（男，63岁，大连人）抓获。经审查，李某军对其不满防疫工作人员管理，故意向检查点办公桌上扔犬粪便的违法行为供认不讳。目前，李某军因涉嫌寻衅滋事，已被中山分局依法处以行政拘留15日的处罚。警方重申：公安机关坚决维护防疫工作人员的合法权益和社会公共秩序，对扰乱破坏社会秩序、阻碍疫情防控的违法犯罪行为“零容忍”，并依法严厉打击。请广大市民依法履行疫情防控法律义务，遵从道德操守和行为规范，勿行犯众之举，否则，必受法律严惩！作者|@中山分局
凉山消防,:【《应急时刻》：“生命通道”为何“阻碍重重”？】2019年12月2日，辽宁省沈阳市浑南新区SR新城102号楼A座发生火灾，大量人员被困，火势异常凶猛，消防员救援途中却遭阻拦。消防通道就是生命通道。火灾发生后的3-5分钟是黄金救援时间。快一分一秒，就能挽救更多生命，避免更多损失。本期《应急时刻》带你回顾这场“阻碍重重”的生死救援。http://t.cn/A67iVoIo
